"horizon","model","VaR_95","CVaR_95","Mean_Strategy_Return","MSE","RMSE","Level_MSE","Accuracy","Precision","Recall","F1","TP","TN","FP","FN","Num_Selected","best_hyperparam","SIS","lambda_rule"
"1 Month","LASSO",-0.1194597323587,-0.268095371321327,0.0039601843340301,0.0216531473206472,0.147150084337887,51.1164461696321,0.493506493506494,0.538461538461538,0.5,0.518518518518519,21,17,18,21,37,"0.01","No SIS","min"
"1 Month","RIDGE",-0.1380901068133,-0.281625509072947,0.00657392908870656,0.0244063789784255,0.156225410796149,52.2572463637407,0.519480519480519,0.575757575757576,0.452380952380952,0.506666666666667,19,21,14,23,945,"1","No SIS","min"
"1 Month","ELASTIC_NET",-0.1194597323587,-0.427796815473516,-0.022592647910724,0.0194727603079599,0.139544832609308,51.4925792583124,0.467532467532468,0.509803921568627,0.619047619047619,0.559139784946237,26,10,25,16,7,"alpha=0.9, lambda=0.0323745754281764","No SIS","min"
"1 Month","LASSO",-0.1194597323587,-0.268095371321327,0.0039601843340301,0.0216531473206472,0.147150084337887,51.1164461696321,0.493506493506494,0.538461538461538,0.5,0.518518518518519,21,17,18,21,37,"0.01","No SIS","1se"
"1 Month","RIDGE",-0.1380901068133,-0.281625509072947,0.00657392908870656,0.0244063789784255,0.156225410796149,52.2572463637407,0.519480519480519,0.575757575757576,0.452380952380952,0.506666666666667,19,21,14,23,945,"1","No SIS","1se"
"1 Month","ELASTIC_NET",-0.114895448094961,-0.218219788597408,0.0136832403298365,0.0203393731141157,0.142616174097175,50.4645199729396,0.519480519480519,0.558139534883721,0.571428571428571,0.564705882352941,24,16,19,18,54,"alpha=0.1, lambda=0.1","No SIS","1se"
"1 Month","LASSO",-0.117032870698376,-0.219773035442933,0.0127400818528462,0.0176419253259221,0.132822909642584,49.7717116237552,0.545454545454545,0.571428571428571,0.666666666666667,0.615384615384615,28,14,21,14,9,"0.00471486636345739","SIS","min"
"1 Month","RIDGE",-0.117032870698376,-0.219773035442933,0.00418796559196226,0.0172571510135926,0.13136647598833,50.071137280063,0.48051948051948,0.52,0.619047619047619,0.565217391304348,26,11,24,16,10,"0.06866488450043","SIS","min"
"1 Month","ELASTIC_NET",-0.117032870698376,-0.219773035442933,0.0116730280499531,0.0174796631754852,0.132210677237072,49.9438346459756,0.532467532467532,0.5625,0.642857142857143,0.6,27,14,21,15,10,"alpha=0.1, lambda=0.0268269579527972","SIS","min"
"1 Month","LASSO",-0.114895448094961,-0.210245539137468,0.0142077798627853,0.0175859511130063,0.132612032308559,49.4581785495577,0.532467532467532,0.553571428571429,0.738095238095238,0.63265306122449,31,10,25,11,9,"0.006866488450043","SIS","1se"
"1 Month","RIDGE",-0.117032870698376,-0.219773035442933,0.00774208658060471,0.0169289331676686,0.130111233825787,49.3744912206913,0.506493506493506,0.537037037037037,0.69047619047619,0.604166666666667,29,10,25,13,10,"0.159985871960606","SIS","1se"
